R,G,B
221,85,179
221,86,179
221,86,180
221,87,180
222,87,180
222,88,181
222,89,181
222,89,181
222,90,181
222,90,182
222,91,182
222,92,182
222,92,182
223,93,183
223,93,183
223,94,183
223,95,184
223,95,184
223,96,184
223,96,184
223,97,185
224,98,185
224,98,185
224,99,185
224,99,186
224,100,186
224,101,186
224,101,186
224,102,187
225,102,187
225,103,187
225,104,188
225,104,188
225,105,188
225,105,188
225,106,189
225,107,189
225,107,189
226,108,189
226,108,190
226,109,190
226,110,190
226,110,190
226,111,191
226,112,191
226,112,191
227,113,192
227,113,192
227,114,192
227,115,192
227,115,193
227,116,193
227,116,193
227,117,193
228,118,194
228,118,194
228,119,194
228,119,195
228,120,195
228,121,195
228,121,195
228,122,196
228,122,196
229,123,196
229,124,196
229,124,197
229,125,197
229,125,197
229,126,197
229,127,198
229,127,198
230,128,198
230,128,199
230,129,199
230,130,199
230,130,199
230,131,200
230,131,200
230,132,200
231,133,200
231,133,201
231,134,201
231,134,201
231,135,202
231,136,202
231,136,202
231,137,202
231,137,203
232,138,203
232,139,203
232,139,203
232,140,204
232,140,204
232,141,204
232,142,204
232,142,205
233,143,205
233,144,205
233,144,206
233,145,206
233,145,206
233,146,206
233,147,207
233,147,207
234,148,207
234,148,207
234,149,208
234,150,208
234,150,208
234,151,208
234,151,209
234,152,209
234,153,209
235,153,210
235,154,210
235,154,210
235,155,210
235,156,211
235,156,211
235,157,211
235,157,211
236,158,212
236,159,212
236,159,212
236,160,213
236,160,213
236,161,213
236,162,213
236,162,214
237,163,214
237,163,214
237,164,214
237,165,215
237,165,215
237,166,215
237,166,215
237,167,216
237,168,216
238,168,216
238,169,217
238,169,217
238,170,217
238,171,217
238,171,218
238,172,218
238,172,218
239,173,218
239,174,219
239,174,219
239,175,219
239,176,220
239,176,220
239,177,220
239,177,220
240,178,221
240,179,221
240,179,221
240,180,221
240,180,222
240,181,222
240,182,222
240,182,222
240,183,223
241,183,223
241,184,223
241,185,224
241,185,224
241,186,224
241,186,224
241,187,225
241,188,225
242,188,225
242,189,225
242,189,226
242,190,226
242,191,226
242,191,226
242,192,227
242,192,227
243,193,227
243,194,228
243,194,228
243,195,228
243,195,228
243,196,229
243,197,229
243,197,229
243,198,229
244,198,230
244,199,230
244,199,230
244,200,230
244,201,231
244,202,231
244,203,232
245,203,232
245,204,232
245,205,233
245,206,233
245,207,233
245,208,234
246,209,234
246,210,235
246,210,235
246,211,235
246,212,236
247,213,236
247,214,237
247,215,237
247,216,237
247,217,238
247,217,238
248,218,239
248,219,239
248,220,239
248,221,240
248,222,240
248,223,241
249,224,241
249,224,241
249,225,242
249,226,242
249,227,242
250,228,243
250,229,243
250,230,244
250,231,244
250,231,244
250,232,245
251,233,245
251,234,246
251,235,246
251,236,246
251,237,247
251,238,247
252,238,248
252,239,248
252,240,248
252,241,249
252,242,249
253,243,250
253,244,250
253,245,250
253,245,251
253,246,251
253,247,251
254,248,252
254,249,252
254,250,253
254,251,253
254,252,253
254,252,254
255,253,254
255,254,255
255,255,255
